iteration,duration,findLastItemDuration,getItemTextDuration
843,334,12,9
844,300,8,10
845,332,12,8
846,299,8,10
847,336,12,8
848,364,13,6
849,334,13,8
850,311,12,10
851,335,9,10
852,292,12,9
853,337,9,9
854,299,9,10
855,344,9,9
856,334,13,9
857,310,13,9
858,420,12,11
859,313,9,8
860,337,9,8
861,307,13,9
862,334,9,6
863,309,12,9
864,340,9,11
865,308,17,9
866,335,9,9
867,300,8,10
868,407,13,10
869,308,11,6
870,348,10,8
871,304,8,10
872,351,9,11
873,311,8,10
874,343,9,10
875,312,8,10
876,349,12,9
877,343,13,9
878,393,13,6
879,354,8,11
880,308,12,9
881,348,9,11
882,313,12,9
883,347,9,9
884,304,8,10
885,347,9,11
886,305,12,9
887,419,13,10
888,317,9,8
889,350,9,8
890,323,13,9
891,353,9,6
892,324,13,8
893,357,9,9
894,306,13,9
895,351,13,9
896,378,13,8
897,356,12,8
898,343,9,8
899,316,12,9
900,345,9,8
901,309,12,11
902,352,9,9
903,315,13,8
904,354,10,10
905,312,13,8
906,446,13,6
907,305,13,8
908,359,13,9
909,315,8,11
910,367,13,11
911,313,13,9
912,365,13,9
913,315,13,8
914,428,8,76
915,316,13,11
916,360,9,9
917,318,13,10
918,360,9,6
919,352,8,10
920,329,9,11
921,390,13,10
922,318,9,9
923,447,15,11
924,316,13,8
925,362,9,9
926,312,9,10
927,364,8,10
928,322,13,8
929,368,12,9
930,323,12,9
931,369,12,9
932,380,9,11
933,373,12,9
934,315,13,9
935,374,13,8
936,313,8,10
937,389,9,9
938,324,13,10
939,382,8,12
940,374,13,8
941,401,13,12
942,373,13,9
943,320,12,9
944,371,10,10
945,323,13,10
946,375,13,9
947,322,9,9
948,379,9,11
949,320,13,9
950,447,13,10
951,323,13,8
952,401,13,10
953,314,13,9
954,376,13,9
955,313,9,11
956,375,13,8
957,314,9,10
958,380,13,9
959,394,13,10
960,391,13,8
961,386,10,9
962,337,10,10
963,389,9,9
964,325,8,10
965,388,10,10
966,329,12,6
967,385,13,8
968,422,12,11
969,398,9,10
970,324,9,9
971,387,13,8
972,325,9,9
973,395,13,11
974,326,13,9
975,386,10,9
976,326,10,8
977,464,13,11
978,338,11,6
979,402,9,9
980,334,13,10
981,402,8,11
982,395,8,10
983,359,13,9
984,390,9,9
985,324,9,9
986,473,13,6
987,348,11,14
988,397,9,9
989,332,13,10
990,391,9,6
991,331,13,8
992,394,10,9
993,334,8,11
994,401,13,11
995,407,13,10
996,403,11,11
997,341,10,9
998,431,13,7
999,332,13,8
1000,434,14,12
